,REQUEST_GUID,FORM_ID,COUNTRY,USAGE,UPDATE_DT,FUNCTION,RESULT_INDICATOR,OPERATOR,LIMIT,UNIT,HIGH_OPERATOR,HIGH_LIMIT,CITATION,REGLINK,COMMENTS,CITATION_UPDATE_IN_PROGRESS,REGULATION_NAME
466595,20211122226,17787,Moldova,"Tea (dried leaves, stalks and flowers)",,Pesticides,DEFAULT APPLIES,,0.01,PPM,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466596,20211122226,17787,Moldova,Tea (instant),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466597,20211122226,17787,Moldova,Tea (ready-to-drink),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466601,20211122226,17787,Monaco,"Tea (dried leaves, stalks and flowers)",,Pesticides,DEFAULT APPLIES,,0.01,PPM,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466602,20211122226,17787,Monaco,Tea (instant),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466603,20211122226,17787,Monaco,Tea (ready-to-drink),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466607,20211122226,17787,Montserrat,"Tea (dried leaves, stalks and flowers)",,Pesticides,DEFAULT APPLIES,,0.01,PPM,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466608,20211122226,17787,Montserrat,Tea (instant),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466609,20211122226,17787,Montserrat,Tea (ready-to-drink),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466613,20211122226,17787,Georgia,"Tea (dried leaves, stalks and flowers)",,Pesticides,DEFAULT APPLIES,,0.01,PPM,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466614,20211122226,17787,Georgia,Tea (instant),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466615,20211122226,17787,Georgia,Tea (ready-to-drink),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466619,20211122226,17787,Germany,"Tea (dried leaves, stalks and flowers)",,Pesticides,DEFAULT APPLIES,,0.01,PPM,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466620,20211122226,17787,Germany,Tea (instant),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466621,20211122226,17787,Germany,Tea (ready-to-drink),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466625,20211122226,17787,Greece,"Tea (dried leaves, stalks and flowers)",,Pesticides,DEFAULT APPLIES,,0.01,PPM,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466626,20211122226,17787,Greece,Tea (instant),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466627,20211122226,17787,Greece,Tea (ready-to-drink),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466631,20211122226,17787,Greenland,"Tea (dried leaves, stalks and flowers)",,Pesticides,DEFAULT APPLIES,,0.01,PPM,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466632,20211122226,17787,Greenland,Tea (instant),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466633,20211122226,17787,Greenland,Tea (ready-to-drink),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466639,20211122226,17787,Luxembourg,"Tea (dried leaves, stalks and flowers)",,Pesticides,DEFAULT APPLIES,,0.01,PPM,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466640,20211122226,17787,Luxembourg,Tea (instant),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466641,20211122226,17787,Luxembourg,Tea (ready-to-drink),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466652,20211122226,17787,Malaysia,"Tea (dried leaves, stalks and flowers)",,Pesticides,DEFAULT APPLIES,,0.01,PPM,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466653,20211122226,17787,Malaysia,Tea (instant),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466654,20211122226,17787,Malaysia,Tea (ready-to-drink),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466658,20211122226,17787,Montenegro,"Tea (dried leaves, stalks and flowers)",,Pesticides,DEFAULT APPLIES,,0.01,PPM,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466659,20211122226,17787,Montenegro,Tea (instant),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466660,20211122226,17787,Montenegro,Tea (ready-to-drink),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466665,20211122226,17787,Malta,"Tea (dried leaves, stalks and flowers)",,Pesticides,DEFAULT APPLIES,,0.01,PPM,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466666,20211122226,17787,Malta,Tea (instant),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466669,20211122226,17787,Paraguay,"Tea (dried leaves, stalks and flowers)",,Pesticides,DEFAULT APPLIES,,0.01,PPM,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466670,20211122226,17787,Paraguay,Tea (instant),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466671,20211122226,17787,Paraguay,Tea (ready-to-drink),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466677,20211122226,17787,Malta,Tea (ready-to-drink),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466683,20211122226,17787,Norway,"Tea (dried leaves, stalks and flowers)",,Pesticides,DEFAULT APPLIES,,0.01,PPM,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466684,20211122226,17787,Norway,Tea (instant),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466685,20211122226,17787,Norway,Tea (ready-to-drink),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466690,20211122226,17787,Korea,Tea (instant),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466691,20211122226,17787,Korea,Tea (ready-to-drink),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466695,20211122226,17787,Kosovo,"Tea (dried leaves, stalks and flowers)",,Pesticides,DEFAULT APPLIES,,0.01,PPM,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
466696,20211122226,17787,Kosovo,Tea (instant),,Pesticides,REVIEW THE RAW MATERIALS,,,,,,,,**Comments:** CLASS = PESTICIDES: FUNGICIDE,0,
